Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,personal_network_survey_for_clinical_research_als,,text,Record ID,,,,,,,,,,,,,
age,personal_network_survey_for_clinical_research_als,,text,Your Age,,,,,,,,,,,,,
sex,personal_network_survey_for_clinical_research_als,,radio,Gender,"0, Female | 1, Male | 2, Other",,,,,,,,,,,,
ethnicity,personal_network_survey_for_clinical_research_als,,radio,Patient's Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 88, Skip question | 99, Unknown",,,,,,,,,,,,
race,personal_network_survey_for_clinical_research_als,,checkbox,Patient's Race ,"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 88, Skip question",,,,,,,,,,,,
edu,personal_network_survey_for_clinical_research_als,,radio,What level of education have you completed,"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 88, Prefer not to answer",,,,,,,,,,,,
zip,personal_network_survey_for_clinical_research_als,,text,What is your zip code:,,,,,,,,,,,,,
employment,personal_network_survey_for_clinical_research_als,,dropdown,What is your employment status? (multi-select),"0, Out of work but not currently looking for work | 1, Employed for wages | 2, Self-employed, | 3, Out of work and looking for work | 4, Student | 5, Retired | 6, Unable to work | 7, Prefer not to answer",,,,,,,,,,,,
occupation,personal_network_survey_for_clinical_research_als,,dropdown,Current Occupation,"1, Executive, manager | 2, Sales or clerical worker | 3, Mechanic, electrician, skilled worker | 4, Machine operator, inspector, bus/cap driver | 5, Service worker (e.g., janitor, guard) | 6, Professional (e.g., nurse, lawyer, teacher, etc.) | 7, Business owner | 8, Laborer, unskilled worker | 9, Farming | 10, Military | 77, Other",,,,,,,,,,,,
income,personal_network_survey_for_clinical_research_als,,dropdown,,"1, less than $5,000 | 2, $5,000 to $49,000 | 3, $50,000 to $169,000 | 4, $170,000 to $499,000 | 5, more than $500,000",,,,,,,,,,,,
married,personal_network_survey_for_clinical_research_als,,dropdown,,"0, Not married | 1, Married",,,,,,,,,,,,
live_alone,personal_network_survey_for_clinical_research_als,,radio,,"1, Yes | 0, No",,,,,,,,,,,,
household_number,personal_network_survey_for_clinical_research_als,,text,,,,,,,,,,,,,,
name1,personal_network_survey_for_clinical_research_als,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p>Who is in your Personal Network?<br><br><span style=""font-weight: normal;"">In order to understand your personal network and the different ways in which people are important to you and support you, we are going to help you create a master list of people by asking you who falls into these three categories:</span><br><br><span style=""font-weight: normal;"">1. Who do you discuss important personal matters with? </span><br><span style=""font-weight: normal;"">2. Who do you often socialize with? </span><br><span style=""font-weight: normal;"">3. Who provides ALS-related support? </span><br><br><span style=""font-weight: normal;"">We are only interested in people who fall into one of those three categories, and we'd like you to think only about your current network of people in your life.</span><br><br><span style=""font-weight: normal;"">Please only use first names, nicknames, or initials - DO NOT USE FULL NAMES. If two people have the same first name, then we will add a last initial. You can state any identifier you'd like in place of a name - all that matters is that you know the person you mean, as the ""names"" you enter will be used later in the survey.</span></p> </div> <p><br><br></p> <div class=""rich-text-field-label""> <div class=""rich-text-field-label""> <p>Question 1: <br><br><span style=""font-weight: normal;"">From time to time, most people discuss important personal matters with other people. Looking back over the past three months, who are the people with whom you discussed personal matters with?</span></p> <p><span style=""font-weight: normal;"">Please do not list full names.</span></p> </div> </div></div>",text,Name 1,,,,,,,,,,,,,
name2,personal_network_survey_for_clinical_research_als,,text,Name 2,,,,,,,,,,,,,
name3,personal_network_survey_for_clinical_research_als,,text,Name 3,,,,,,,,,,,,,
name4,personal_network_survey_for_clinical_research_als,,text,Name 4,,,,,,,,,,,,,
name5,personal_network_survey_for_clinical_research_als,,text,Name 5,,,,,,,,,,,,,
more_names_1,personal_network_survey_for_clinical_research_als,,notes,"More names, separated by commas (if needed):",,,,,,,,,,,,,
reshuffle1,personal_network_survey_for_clinical_research_als,,yesno,Reshuffle?,"1, 1. Yes",,,,,,,,,,,,
script1,personal_network_survey_for_clinical_research_als,,descriptive,"You have given me (#) names, which were (list the names). Who are the top five most important people with whom you discussed personal matters?",,,,,,,[reshuffle1] = '1',,,,,,
name6,personal_network_survey_for_clinical_research_als,"<div class=""rich-text-field-label""><p>Question 2: <br><br><span style=""font-weight: normal;"">Looking back over the past 3 months, who do you often socialize with? For example, these are people with whom you go out to dinner, go on a trip, or hang out. </span><br><br><span style=""font-weight: normal;"">Please do not list full names, and don't worry about duplicates from the previous section.</span></p></div>",text,Name 1,,,,,,,,,,,,,
name7,personal_network_survey_for_clinical_research_als,,text,Name 2,,,,,,,,,,,,,
name8,personal_network_survey_for_clinical_research_als,,text,Name 3,,,,,,,,,,,,,
name9,personal_network_survey_for_clinical_research_als,,text,Name 4,,,,,,,,,,,,,
name10,personal_network_survey_for_clinical_research_als,,text,Name 5,,,,,,,,,,,,,
